BuyOrNot,BuyDNactDN,ActDNTotalDN,BuyBBrand,BuyHit
1,11.54,28.26,8.51,4.76
1,17.65,73.91,10.67,6.11
1,2.38,45.65,1.23,0.66
1,6.25,17.39,3.57,1.22
1,7.89,41.3,2.17,2.7
1,4.35,25,8.33,5.26
1,10,76.09,4.21,1.85
0,0,21.74,0,0
1,40.43,51.09,25.88,12.2
1,13.95,46.74,7.06,4.14
1,21.21,35.87,7.95,2.7
1,12.5,69.57,6.4,3.98
1,38.46,14.13,28,23.96
1,5,43.48,2.47,0.9
1,9.52,22.83,11.76,2.33
1,26.09,25,14.29,14.81
1,2.94,36.96,2.7,1.54
1,10.81,40.22,7.14,6.67
1,13.16,41.3,6.67,5.49
1,11.11,58.7,6.48,2.47
1,13.51,80.43,8.73,1.61
1,5.08,64.13,3.7,1.25
0,0,9.78,0,0
1,12.5,43.48,11.36,2.74
1,25.49,55.43,18.75,9.41
1,6.76,80.43,2.61,2.05
1,6.41,84.78,2.43,1.54
1,18.18,23.91,11.36,7.92
1,17.81,79.35,5.93,2.74
1,38.46,28.26,30.23,8.59
1,6.85,79.35,5.05,2.05
1,13.33,16.3,10,3.57
1,7.14,60.87,4.44,1.87
0,0,16.3,0,0
1,9.21,82.61,3.97,1.59
1,23.33,32.61,11.67,6.84
1,5.56,58.7,1.16,0.72
1,7.69,70.65,2.99,1.23
1,14.58,52.17,7.14,9.76
0,0,21.74,0,0
1,17.14,38.04,14.52,6.42
1,17.24,63.04,7.32,3.04
1,4.55,23.91,3.7,2.22
1,17.65,18.48,11.11,5.56
1,16.67,45.65,7.41,2.74
1,3.92,55.43,3.16,2.42
1,7.14,30.43,4.55,2.11
1,6.52,50,2.59,1.42
1,16.67,13.04,14.29,6.67
0,0,10.87,0,0
1,16.07,60.87,9.28,4.28
0,0,10.87,0,0
1,14.29,38.04,8.33,6.67
1,10,76.09,7.21,2.13
1,16.67,13.04,9.09,4.43
1,20,32.61,20.51,12.2
1,6.67,32.61,5.13,2.22
1,9.43,57.61,5.21,1.54
1,22.73,23.91,14.63,5.71
1,7.81,69.57,3.85,2.51
1,4.65,46.74,4.84,2.53
1,2.5,43.48,0.97,0.65
1,7.32,44.57,3.19,1.47
1,6.9,31.52,4.17,2.33
1,6.9,31.52,4.65,1.27
1,6.12,53.26,3.19,2.99
1,11.11,29.35,15.62,4.17
1,4.76,45.65,3.39,1.9
1,24.32,80.43,19.23,5.92
1,9.52,91.3,2.62,1.7
1,10.29,73.91,5.6,1.73
1,11.43,38.04,7.84,4.44
1,15.79,20.65,15.79,6
1,13.16,41.3,12.9,2.69
1,5.08,64.13,1.52,0.73
1,12.5,34.78,7.55,5.26
1,4.55,23.91,5.26,1.19
1,4,27.17,2.5,1.75
1,53.23,67.39,35.56,15.09
1,7.5,43.48,5.88,4.82
1,23.53,18.48,16.67,9.09
1,5.88,73.91,2.56,2.25
1,7.14,30.43,7.69,6.76
1,1.75,61.96,0.61,0.26
1,23.08,42.39,11.69,6.94
1,6.25,69.57,3.62,1.75
1,14.89,51.09,11.67,2.27
1,11.32,57.61,6.36,1.89
1,4.35,25,2.63,1.33
1,17.02,51.09,13.58,5.94
1,3.33,32.61,1.92,0.69
0,0,26.09,0,0
1,9.38,69.57,4.35,1.57
1,7.84,55.43,3.7,1.58
0,0,40.22,0,0
1,16.67,6.52,10,5
1,3.7,29.35,2.17,1.19
1,11.11,29.35,7.32,4.41
1,9.3,46.74,5.68,2.78
1,5.56,39.13,5.88,3.28
1,8.57,38.04,5.13,1.33
0,0,11.96,0,0
1,2.86,38.04,2.63,0.86
1,10.26,42.39,4.85,2.91
1,6.67,48.91,1.91,0.84
1,30,54.35,18.56,9.17
1,28.57,7.61,25,37.5
1,2.04,53.26,0.88,0.53
1,26.56,69.57,6.08,5.05
1,11.11,78.26,3,1.05
0,0,22.83,0,0
1,7.5,43.48,12.5,5.91
1,11.11,48.91,8.33,7.78
1,8.7,50,4.44,1.92
1,10.34,63.04,3.45,2.31
1,44.44,29.35,36.11,15.65
1,33.33,3.26,33.33,5
1,5.66,57.61,3.45,1.98
1,12.68,77.17,4.05,2.76
1,7.14,15.22,4.76,3.85
1,6.52,50,4,1.27
1,21.05,20.65,14.29,3.82
1,11.43,38.04,7.35,5.08
1,20.27,80.43,7.98,4.66
1,18.92,40.22,12.9,4.46
1,11.11,9.78,4.76,2.78
1,11.76,55.43,3.68,1.47
1,4.62,70.65,3.51,3.57
1,23.08,42.39,13.64,6.25
0,0,22.83,0,0
1,6.25,34.78,5.08,3.76
1,17.24,31.52,16.67,10.67
1,4.35,50,2.53,1.04
0,0,1.09,0,0
1,9.8,55.43,4.46,3.27
1,11.76,18.48,8,6.9
1,20.51,84.78,5.34,1.42
1,18.92,40.22,11.43,6.58
1,7.69,28.26,3.7,4.76
1,4.88,44.57,4.84,3
1,21.31,66.3,12.7,7.59
1,28.57,38.04,27.03,20.57
1,13.21,57.61,10.26,5.71
1,18.75,17.39,6.45,3.85
1,11.11,68.48,4.96,6.09
1,11.76,18.48,5.71,2.65
1,7.27,59.78,7.14,0.99
1,20,21.74,12.5,7.35
1,13.79,31.52,10.2,4.02
1,20.97,67.39,12.1,6.58
1,17.39,25,20,7.33
1,10.81,40.22,6.45,1.5
0,0,27.17,0,0
1,8.57,38.04,5.66,6.19
1,19.51,44.57,11.39,8.21
0,0,9.78,0,0
1,20,10.87,14.29,9.38
1,4.44,48.91,2.78,0.93
1,16.67,39.13,15.38,8.82
1,20,38.04,20,15.08
1,6.67,32.61,4.08,2.08
1,5.71,38.04,4,2.41
1,19.44,39.13,10.45,8.33
1,20.34,64.13,14.42,6.12
1,18.75,17.39,5.88,11.63
1,22.22,9.78,20,8
1,11.76,55.43,12.96,5.41
1,6.25,34.78,3.17,1.08
1,10.64,51.09,5.94,3
1,4.55,23.91,2.86,1.89
1,19.05,45.65,8.33,4.21
1,15,43.48,8.64,3.8
1,11.63,46.74,8.33,3.98
1,14.81,29.35,10.53,4.17
1,40,48.91,29.41,8.97
1,6.45,33.7,3.64,1.53
0,0,14.13,0,0
1,13.79,31.52,14.29,6.25
0,0,10.87,0,0
1,10.42,52.17,5.48,4.13
1,14.29,22.83,13.04,6.67
1,48.15,29.35,44.83,18.28
1,15.15,35.87,9.43,6.33
1,2.63,41.3,1.33,0.63
0,0,27.17,0,0
0,0,11.96,0,0
1,8.11,40.22,7.14,1.99
1,6.98,46.74,4.55,2.23
1,15.25,64.13,9.47,4.32
1,5,21.74,2.78,1.28
1,36.84,20.65,23.33,8.89
1,5.88,18.48,5.26,3.12
0,0,10.87,0,0
1,2.33,46.74,1.59,1.52
1,35.71,30.43,60,7.46
0,0,1.09,0,0
1,5.26,41.3,4.44,2.26
1,28.21,42.39,18.18,9.54
1,6.76,80.43,2.92,1.17
1,10,32.61,8.7,1.56
1,6.25,34.78,8,2.11
0,0,4.35,0,0
1,17.54,61.96,9.9,5.37
1,6.25,17.39,4.35,3.85
1,11.11,29.35,11.63,5.32
1,11.11,48.91,9.09,3.54
1,5.13,42.39,3.12,2.5
1,22.22,9.78,20,9.68
1,7.14,15.22,3.03,2.17
1,10.87,50,10.53,4.7
1,11.11,48.91,11.76,8.56
1,11.54,28.26,8.33,7.14
1,16.67,13.04,14.29,11.11
1,28.57,15.22,17.65,14.29
1,28.85,56.52,17.89,9.24
1,16.67,39.13,5.33,3.59
0,0,23.91,0,0
1,15.91,47.83,6.52,4.6
1,5.88,18.48,4.55,2.94
1,22.22,9.78,20,11.43
1,2.94,36.96,2,1.1
1,13.46,56.52,7.69,3.19
0,0,8.7,0,0
1,8.33,13.04,7.69,6.25
0,0,47.83,0,0
1,33.33,29.35,19.57,12.16
1,17.02,51.09,10.91,6.25
1,26.67,16.3,15.38,7.94
1,33.33,3.26,33.33,25
1,20,21.74,9.52,11.25
1,14.89,51.09,10,2.36
0,0,3.26,0,0
1,27.27,11.96,60,7.5
1,28.57,7.61,33.33,15.15
1,12.28,61.96,5.36,2.34
1,20,10.87,8.33,4.08
1,29.41,18.48,41.18,27.45
1,25,4.35,20,20
1,8.7,25,6.67,4.08
1,18.52,58.7,9.3,5.32
1,8.33,26.09,6.25,3.92
0,0,27.17,0,0
1,15.91,47.83,15.25,5.67
1,3.7,29.35,1.89,1.3
1,14.29,53.26,9.68,4.93
0,0,19.57,0,0
1,31.03,31.52,15.79,25.41
1,28.57,7.61,25,6.98
1,13.16,41.3,7.81,6.06
0,0,14.13,0,0
1,9.09,23.91,5.56,1.76
1,21.05,41.3,13.64,6.83
1,14.06,69.57,4.91,3.02
1,13.64,23.91,6.82,3.23
1,23.81,22.83,12.5,13.04
1,5,43.48,2.82,0.38
1,19.23,56.52,12.63,3.34
1,12.5,26.09,8,3.39
0,0,23.91,0,0
0,0,25,0,0
1,28.57,15.22,8.7,5.29
1,8.11,40.22,5.77,2.56
1,19.15,51.09,8.25,3.38
1,20.37,58.7,9.78,7.57
1,25,17.39,13.33,10.87
1,9.09,23.91,6.06,2.2
1,25,8.7,33.33,14.29
1,6.12,53.26,3.33,1.69
1,4.17,26.09,3.45,2.94
1,8.82,36.96,5.66,4.35
1,26.67,32.61,9.62,5.04
0,0,23.91,0,0
1,17.46,68.48,7.45,4.8
0,0,22.83,0,0
1,28.57,45.65,25.53,9.21
0,0,26.09,0,0
1,6.9,31.52,10.53,1.38
1,17.39,50,10.19,4.88
1,2.04,53.26,1.04,1.02
1,3.45,31.52,3.28,1.44
1,9.52,22.83,5.56,3.64
1,14.29,15.22,10,6.45
1,3.64,59.78,1.85,1.09
0,0,27.17,0,0
1,3.7,29.35,2.27,1.32
1,16.67,13.04,14.29,11.54
1,6.67,16.3,9.09,2.08
1,37.5,8.7,13.04,15.69
0,0,9.78,0,0
1,5.66,57.61,2.88,1.26
1,21.43,30.43,12.28,5.93
1,13.85,70.65,5.69,2.08
1,13.04,50,6.52,3.06
1,14.29,60.87,6.25,4.1
1,11.76,36.96,5.26,1.23
0,0,2.17,0,0
1,4.55,23.91,2.5,0.9
1,24.14,31.52,14.89,10.39
1,5.56,39.13,4.08,2.44
1,6.98,46.74,4.71,2.97
1,20,10.87,12.5,12
1,14.29,7.61,7.14,5.88
1,16,27.17,7.94,6.36
0,0,11.96,0,0
1,13.33,16.3,5.26,5.45
0,0,23.91,0,0
1,8.82,36.96,5.26,2.29
1,25,26.09,14.63,8.86
1,16.22,40.22,11.32,6.38
1,8,27.17,6.67,2.29
1,13.64,23.91,7.89,4.35
1,5.71,38.04,4.17,2.78
1,14.29,15.22,15.79,13.45
1,14.29,38.04,8.33,2.25
1,11.36,47.83,5.81,3.5
1,9.09,23.91,5.13,2.02
1,22.73,23.91,12.5,4.08
1,28,27.17,14.58,8.67
1,42.11,20.65,44.44,15.19
0,0,15.22,0,0
1,9.09,11.96,10,5.26
1,5.41,40.22,4.44,4.37
0,0,3.26,0,0
1,7.14,30.43,4,2.86
1,2.78,39.13,1.89,0.98
1,10,21.74,8.33,4.76
1,7.14,15.22,4.35,1.64
1,27.59,31.52,20.51,14.04
1,28.95,41.3,17.33,9.49
0,0,22.83,0,0
0,0,5.43,0,0
0,0,18.48,0,0
1,13.33,16.3,12.5,8.7
1,23.26,46.74,14.06,4.76
1,8,27.17,5.13,3
1,13.16,41.3,7.58,5
1,6.45,33.7,7.55,3.48
1,12.5,43.48,11.36,6.58
1,11.76,18.48,8,4.44
1,5.56,39.13,3.12,2.08
1,15.52,63.04,6.52,5.54
1,28,27.17,13.04,5.71
1,20.69,31.52,19.23,3.99
1,10,10.87,7.69,4.08
1,6.67,16.3,5.26,4.08
0,0,31.52,0,0
1,50,6.52,37.5,26.67
1,13.51,40.22,6.94,4.82
1,5.56,19.57,3.12,1.35
1,22.58,33.7,15.79,3.98
0,0,9.78,0,0
1,10.81,40.22,3.74,1.71
0,0,25,0,0
1,5,21.74,4,1.25
1,23.81,22.83,14,6.84
1,14.29,22.83,15,5.09
1,5.88,18.48,3.85,2.27
1,5,43.48,4,4.17
1,22.92,52.17,12.24,5.9
1,29.17,26.09,26.92,16.46
1,4.17,26.09,3.57,3.23
1,93.33,16.3,71.43,242.86
1,41.18,18.48,33.33,18.18
0,0,26.09,0,0
1,25,4.35,16.67,6.67
0,0,14.13,0,0
1,29.03,33.7,13.48,6.87
0,0,32.61,0,0
1,17.86,30.43,21.74,15
0,0,63.04,0,0
1,10.34,31.52,9.09,4.94
1,11.76,18.48,2.78,2.44
0,0,39.13,0,0
1,12.5,17.39,8.7,4.44
1,15.79,20.65,20.83,11.36
0,0,13.04,0,0
1,7.5,43.48,3.95,1.11
0,0,38.04,0,0
1,6.25,17.39,4.55,2.27
0,0,19.57,0,0
1,12,27.17,8.82,3.85
1,14.81,29.35,16.67,7.58
0,0,17.39,0,0
1,25,17.39,17.39,20.69
1,17.65,18.48,18.52,12.82
1,11.11,29.35,10,3.7
0,0,8.7,0,0
1,14.81,29.35,10,7.06
1,12.12,35.87,10,5.41
0,0,18.48,0,0
1,17.24,31.52,10.26,4.17
1,6.67,16.3,4.17,4
0,0,4.35,0,0
1,8.7,50,5.48,2.86
1,47.37,20.65,52.38,20
1,26.09,25,29.73,15.38
1,10,10.87,7.69,5.56
1,11.11,9.78,9.09,5.26
1,21.05,20.65,16.67,8.16
1,85.71,7.61,100,53.85
1,29.03,33.7,15.09,6.21
1,14.29,7.61,12.5,7.14
1,10.26,42.39,7.14,3.35
1,55.56,19.57,43.48,21.82
1,9.52,22.83,5.71,1.89
1,7.69,14.13,8.33,2.94
1,37.5,26.09,54.55,14.29
0,0,6.52,0,0
1,5,21.74,3.45,1.04
1,9.09,47.83,5.1,3
0,0,7.61,0,0
1,8.11,40.22,3.85,2.05
1,14.29,22.83,7.32,2.26
1,19.23,28.26,30,7.07
1,20.69,31.52,19.05,9.48
1,31.25,17.39,17.14,7.69
1,8.7,25,5.56,5.51
1,11.36,47.83,5.21,2.19
0,0,13.04,0,0
1,3.03,35.87,2.94,0.66
1,16.67,26.09,13.79,4.89
1,23.08,14.13,15,9.26
1,12.5,26.09,8.11,3.12
1,11.11,9.78,11.11,4.55
1,33.33,6.52,25,21.05
1,8.33,13.04,7.69,3.57
0,0,5.43,0,0
1,19.44,39.13,14.58,6.23
1,6.67,16.3,10,1.82
1,13.16,41.3,14.58,5.94
1,23.08,14.13,21.43,3.75
1,21.43,15.22,16.67,11.54
1,25,8.7,25,50
1,7.69,14.13,7.69,7.14
1,10,10.87,5.56,2.63
0,0,1.09,0,0
1,22.92,52.17,10.38,7.16
1,50,6.52,33.33,15
1,10,10.87,7.69,8
1,17.86,30.43,11.9,7.69
1,5.56,19.57,3.7,2.86
1,36.36,11.96,36.36,33.33
0,0,11.96,0,0
1,20.59,36.96,10.81,7.34
0,0,17.39,0,0
0,0,19.57,0,0
1,7.14,15.22,4.76,2.63
1,11.11,9.78,10,3.57
1,25,39.13,8.43,2.33
1,22.22,9.78,11.11,11.11
1,18.18,11.96,9.09,7.69
1,50,10.87,44.44,14.29
0,0,5.43,0,0
0,0,5.43,0,0
1,4.76,45.65,1.23,0.54
0,0,6.52,0,0
0,0,3.26,0,0
1,40.74,29.35,31.37,10.67
1,5.88,18.48,2.78,2
1,5,21.74,1.85,1
1,8.7,25,7.69,4.35
0,0,8.7,0,0
0,0,7.61,0,0
1,19.23,28.26,20,8.96
1,3.23,33.7,4.17,1.69
0,0,9.78,0,0
1,7.69,14.13,7.69,1.47
1,33.33,6.52,28.57,16.67
1,18.18,23.91,13.04,12.63
0,0,11.96,0,0
0,0,7.61,0,0
0,0,20.65,0,0
1,26.09,25,13.95,7.14
1,26.67,16.3,31.25,11.54
1,16.67,6.52,20,9.09
1,21.62,40.22,12.31,6.33
1,17.39,25,22.22,16.92
1,10,10.87,7.14,4
1,23.81,22.83,16.67,13.85
1,16.67,13.04,10,2.88
1,15.38,14.13,18.75,2.01
0,0,10.87,0,0
0,0,13.04,0,0
1,13.33,16.3,12.5,3.45
1,24,27.17,15.91,9.09
1,16.67,13.04,20,5
1,33.33,6.52,20,8
1,33.33,3.26,33.33,16.67
0,0,3.26,0,0
1,8.33,26.09,7.14,5.88
0,0,28.26,0,0
1,9.09,23.91,8.33,4.62
1,10.42,52.17,10.34,6.18
1,7.14,15.22,4,2.63
0,0,15.22,0,0
1,4.55,23.91,2.04,2.04
1,9.09,11.96,8.33,7.5
1,13.33,16.3,11.76,4.4
0,0,7.61,0,0
0,0,4.35,0,0
1,21.43,15.22,12.5,9.43
0,0,6.52,0,0
1,14.29,15.22,14.29,6.56
1,30,10.87,25,25.93
1,7.14,15.22,3.45,2.78
1,8.33,13.04,5.88,2.33
0,0,11.96,0,0
1,6.25,34.78,5.45,3.06
0,0,2.17,0,0
1,27.27,23.91,13.04,10.11
1,20,10.87,11.76,2.56
1,14.29,22.83,10.34,6.12
1,17.78,48.91,9.21,2.83
0,0,2.17,0,0
1,28.07,61.96,14.58,5.18
1,16.22,40.22,8.11,7.53
1,20,5.43,7.69,6.9
1,22.22,19.57,16.67,9.52
0,0,7.61,0,0
1,3.7,29.35,1.82,0.58
1,36,27.17,33.33,17.32
1,28.21,42.39,16.39,8.03
0,0,8.7,0,0
0,0,2.17,0,0
1,18.75,17.39,9.09,6
1,18.18,11.96,22.22,18.92
1,14.29,15.22,4.88,1.67
1,5.56,39.13,3.33,1.06
1,13.04,25,9.38,5.43
1,16.67,13.04,3.45,6.9
0,0,5.43,0,0
0,0,1.09,0,0
0,0,8.7,0,0
1,20,5.43,14.29,4.76
0,0,14.13,0,0
0,0,5.43,0,0
1,11.11,9.78,7.14,2.86
1,4,27.17,2.56,1.03
1,15.38,14.13,11.11,6.25
1,20,5.43,20,5.56
1,7.69,14.13,3.23,1.69
1,25,8.7,16.67,8.97
1,50,4.35,83.33,26.09
0,0,9.78,0,0
1,18.18,11.96,28.57,11.11
1,23.53,18.48,21.74,7.79
0,0,5.43,0,0
1,6.67,16.3,10,1.69
0,0,8.7,0,0
1,20,27.17,16.22,7.94
1,21.43,30.43,13.95,6.93
1,8.33,13.04,10,2.5
1,16.67,6.52,16.67,12.5
1,9.09,23.91,10.53,4
0,0,8.7,0,0
1,2.86,38.04,3.03,0.65
1,4.76,22.83,8,4.55
1,8,27.17,4,2.67
0,0,1.09,0,0
1,31.25,17.39,25,14.58
0,0,3.26,0,0
0,0,13.04,0,0
1,16.67,6.52,25,12.5
1,18.18,11.96,20,6.9
1,10.34,31.52,7.14,3.95
1,33.33,3.26,20,14.29
1,11.76,18.48,8.7,5.26
1,33.33,6.52,50,22.22
0,0,9.78,0,0
1,7.32,44.57,5.81,2.49
1,33.33,3.26,33.33,25
1,5.26,20.65,4.76,1.8
0,0,5.43,0,0
1,20,10.87,23.08,15.79
0,0,1.09,0,0
1,5.26,20.65,5.26,6.98
0,0,11.96,0,0
0,0,5.43,0,0
0,0,6.52,0,0
0,0,1.09,0,0
1,11.11,9.78,6.25,6.35
0,0,1.09,0,0
0,0,4.35,0,0
0,0,7.61,0,0
1,12.5,17.39,9.09,7.41
1,20,16.3,28.57,12.12
1,12.5,8.7,4.17,3.33
1,14.29,7.61,9.09,2.67
1,13.33,16.3,5.88,2.97
0,0,16.3,0,0
0,0,10.87,0,0
1,33.33,3.26,33.33,16.67
1,13.33,16.3,9.52,5.26
1,13.64,47.83,6.02,2.26
1,9.09,11.96,2.94,1.2
1,28.57,22.83,17.14,8.49
1,10,21.74,6.67,5.45
0,0,15.22,0,0
1,20,5.43,14.29,5.88
0,0,4.35,0,0
1,15.38,14.13,11.76,7.41
1,7.5,43.48,3.75,1.81
1,33.33,6.52,12.5,7.69
0,0,5.43,0,0
1,22.22,9.78,18.18,9.09
0,0,5.43,0,0
1,16.67,6.52,25,6.06
1,33.33,3.26,33.33,25
0,0,1.09,0,0
0,0,4.35,0,0
0,0,10.87,0,0
0,0,7.61,0,0
1,50,8.7,50,32
0,0,8.7,0,0
1,25,4.35,33.33,20
1,15.38,28.26,14.29,6.35
0,0,2.17,0,0
1,20,27.17,13.64,6.18
1,12.5,26.09,8.33,3.03
1,8.33,13.04,5,7.45
1,17.24,31.52,5.1,1.87
1,19.05,22.83,10.87,4.76
1,12.5,52.17,3.45,2.44
0,0,7.61,0,0
0,0,7.61,0,0
0,0,5.43,0,0
1,9.09,11.96,6.67,3.12
0,0,2.17,0,0
1,11.11,9.78,20,12.5
1,10,21.74,13.64,9.8
1,6.25,17.39,5.26,4.26
1,18.75,52.17,10.71,5.61
0,0,8.7,0,0
1,18.42,41.3,11.39,3.65
1,22.22,9.78,40,12.5
1,25,4.35,16.67,8.33
0,0,15.22,0,0
0,0,1.09,0,0
1,11.76,18.48,9.52,8
1,15.62,34.78,4.65,1.73
0,0,4.35,0,0
0,0,5.43,0,0
1,100,2.17,66.67,15.38
1,12.5,8.7,8.33,5
0,0,1.09,0,0
1,42.86,7.61,25.71,10.1
0,0,1.09,0,0
1,8,27.17,4.55,2.67
1,11.36,47.83,4.52,2.38
1,12.5,17.39,15,3.8
1,20,5.43,20,5
1,12.5,34.78,5.88,2.89
1,14.29,7.61,11.11,7.69
0,0,10.87,0,0
0,0,9.78,0,0
0,0,1.09,0,0
0,0,4.35,0,0
1,5.26,20.65,1.67,1.42
1,50,2.17,5.56,3.7
0,0,3.26,0,0
0,0,3.26,0,0
1,44,27.17,25.64,13.24
0,0,3.26,0,0
1,20,5.43,25,8
1,12.5,26.09,8.33,3.9
1,12.5,8.7,7.69,3.57
0,0,15.22,0,0
1,16.67,6.52,14.29,7.14
1,66.67,3.26,50,22.22
1,33.33,3.26,33.33,9.09
0,0,5.43,0,0
0,0,3.26,0,0
0,0,2.17,0,0
0,0,8.7,0,0
0,0,2.17,0,0
0,0,2.17,0,0
0,0,1.09,0,0
1,33.33,3.26,16.67,9.09
1,30,10.87,13.04,10.53
0,0,6.52,0,0
1,10,10.87,6.25,10.53
1,11.11,19.57,6.67,3.85
1,12,27.17,4.92,2.88
1,33.33,3.26,20,8.7
0,0,1.09,0,0
0,0,1.09,0,0
0,0,1.09,0,0
1,25,4.35,20,12.5
1,25,4.35,25,15
1,50,2.17,50,50
1,18.18,11.96,11.76,7.32
1,16.67,6.52,12.5,12.5
0,0,10.87,0,0
1,3.85,28.26,1.3,0.52
0,0,4.35,0,0
1,50,4.35,42.86,75
1,33.33,3.26,16.67,8.7
0,0,2.17,0,0
1,35.29,18.48,22.73,24.32
1,26.32,20.65,6.4,3.86
0,0,1.09,0,0
0,0,1.09,0,0
1,20,5.43,20,20
0,0,5.43,0,0
0,0,2.17,0,0
0,0,6.52,0,0
1,10,10.87,4.76,3.23
1,50,2.17,100,100
1,14.29,7.61,7.69,4.35
1,33.33,3.26,11.11,2.86
0,0,1.09,0,0
1,15.38,14.13,5.41,0.79
0,0,1.09,0,0
0,0,1.09,0,0
0,0,1.09,0,0
0,0,1.09,0,0
1,25,4.35,16.67,3.7
0,0,1.09,0,0
0,0,1.09,0,0
0,0,1.09,0,0
0,0,1.09,0,0
1,33.33,3.26,9.09,6.25
0,0,1.09,0,0
1,100,1.09,33.33,50
