cardid,value,pmethod,sex,homeown,income,age,fruitveg,freshmeat,dairy,cannedveg,cannedmeat,frozenmeal,beer,wine,softdrink,fish,confectionery
60499,11.8442,CASH,M,YES,12800,30,1,1,0,0,0,0,0,0,0,0,0
73004,13.0578,CHEQUE,M,YES,23800,18,0,0,0,0,0,0,0,1,0,0,0
21787,19.5369,CASH,M,NO,19700,45,0,0,0,0,0,0,0,0,0,1,0
28314,38.8062,CARD,F,YES,29200,37,0,0,0,0,0,1,0,1,0,0,1
24651,32.1216,CASH,F,NO,22700,37,0,0,0,0,0,0,0,1,1,0,1
29367,43.3149,CHEQUE,M,YES,28800,35,0,0,0,0,0,1,0,0,0,0,0
15072,41.6457,CARD,M,NO,28400,34,0,0,0,0,0,1,0,0,0,0,0
33622,39.2378,CASH,M,NO,26200,25,1,0,0,0,0,0,1,1,0,1,0
42167,10.6201,CARD,F,NO,11100,35,0,1,0,0,0,0,0,1,1,0,0
43550,10.5365,CASH,M,NO,10200,47,0,0,0,1,0,1,1,0,1,0,0
18724,49.1775,CASH,F,NO,13500,17,0,0,1,0,0,0,1,0,0,0,0
91019,48.4029,CARD,M,YES,24100,29,0,0,0,0,0,0,0,1,0,0,0
68193,15.7157,CARD,F,YES,29600,24,1,0,0,0,0,0,0,0,0,0,0
35262,26.2512,CHEQUE,M,YES,18100,22,1,0,0,1,0,0,1,1,0,0,0
93401,45.7963,CARD,F,YES,29700,25,0,0,0,0,0,0,0,1,0,1,1
15177,24.7919,CARD,F,NO,11700,46,0,0,0,0,0,0,0,0,0,0,1
96173,26.3483,CARD,F,NO,13800,31,0,0,0,0,0,0,0,0,1,0,0
50180,35.5435,CASH,M,YES,23700,42,0,0,0,1,1,0,0,0,1,0,1
31828,30.426,CARD,M,NO,12000,17,0,0,1,0,1,0,0,0,0,1,0
62022,42.7131,CASH,F,NO,13300,40,0,0,0,0,0,0,0,1,0,0,1
105225,28.5341,CASH,M,NO,21600,35,1,0,1,0,0,0,0,0,0,0,1
64668,31.2009,CASH,M,NO,11200,49,0,0,1,1,1,1,1,0,1,0,0
53320,46.27,CARD,M,YES,18200,39,0,0,0,0,1,0,0,0,1,1,0
15068,17.8948,CHEQUE,M,YES,21400,50,0,0,0,0,0,0,1,0,0,0,0
99849,37.0252,CASH,F,YES,11400,17,1,0,1,0,0,0,0,0,0,0,0
63694,22.3043,CARD,F,YES,11700,29,1,0,1,1,0,0,0,0,0,0,0
24874,35.938,CASH,F,YES,26700,46,1,1,1,0,0,0,0,1,0,0,1
104988,24.3263,CASH,M,NO,24800,39,0,0,0,0,1,0,0,0,0,0,0
84902,44.9991,CARD,M,YES,29600,50,0,0,0,0,0,1,0,0,0,0,0
96512,37.8721,CARD,F,NO,20500,43,1,0,0,0,0,0,1,1,0,0,1
99575,19.2134,CARD,M,YES,28100,38,0,0,0,0,0,1,0,0,0,1,0
33413,37.9016,CASH,F,NO,20700,39,0,0,0,0,0,1,0,1,0,0,1
57678,47.6595,CHEQUE,M,NO,24900,29,0,0,0,0,0,1,0,0,0,0,0
89425,28.8615,CHEQUE,M,NO,20300,17,1,0,0,1,0,0,1,0,0,1,0
60571,24.6707,CASH,F,NO,18600,29,0,0,0,0,0,1,0,0,0,1,0
76095,28.0024,CHEQUE,M,YES,11000,46,0,0,0,1,0,1,1,0,0,0,0
48247,48.6794,CHEQUE,F,NO,11000,50,0,0,0,0,0,0,0,0,0,0,0
88019,47.3606,CHEQUE,M,YES,23300,41,1,0,0,0,0,0,0,0,0,0,0
30850,17.1818,CASH,F,NO,19900,34,1,0,0,0,0,0,0,0,0,1,0
66117,25.4945,CHEQUE,F,NO,27200,26,0,0,0,0,1,0,0,0,0,1,0
97377,28.263,CARD,F,NO,12700,24,0,0,0,0,0,0,1,0,0,0,0
101722,15.7228,CHEQUE,M,NO,29400,31,0,1,0,0,0,1,0,0,0,1,0
43498,33.6065,CHEQUE,F,YES,17000,44,0,0,0,0,0,0,0,0,0,0,0
44562,13.532,CHEQUE,F,YES,28600,50,0,0,0,0,0,1,0,0,1,0,0
74710,16.3704,CARD,F,YES,27300,30,0,0,0,0,0,0,0,0,0,0,0
85585,36.426,CARD,F,YES,26300,46,0,0,0,0,0,0,0,1,1,0,1
97287,35.3706,CHEQUE,M,NO,13800,49,0,0,0,1,0,1,1,1,0,1,0
19268,25.055,CASH,F,YES,11000,29,0,0,0,0,0,0,0,0,0,0,0
50150,39.5248,CASH,F,NO,18800,27,1,0,0,0,0,0,0,1,1,1,0
67455,18.198,CARD,F,YES,19300,40,0,1,0,0,0,0,1,0,0,0,0
16350,31.8923,CARD,F,YES,22900,16,1,1,0,0,0,0,0,0,0,0,0
42778,35.2808,CASH,M,YES,15500,17,0,0,1,1,0,1,1,0,1,0,0
98181,16.351,CASH,F,YES,21900,24,0,0,1,0,0,0,0,0,1,0,1
106522,10.007,CHEQUE,M,YES,14500,22,0,0,0,1,0,1,1,0,0,0,0
36278,43.0066,CASH,M,NO,20400,40,0,1,0,0,0,1,0,0,1,0,0
26130,12.6214,CHEQUE,F,NO,18400,45,0,0,0,1,0,0,0,1,0,0,0
57851,29.562,CASH,F,YES,18700,43,1,0,0,0,1,0,1,0,0,0,1
81971,19.3672,CASH,M,NO,28200,17,1,0,1,1,0,0,0,0,0,1,0
57068,22.8535,CHEQUE,M,NO,20900,42,0,0,1,0,0,0,0,0,0,0,0
69122,32.0161,CARD,M,YES,29300,34,0,0,1,0,1,0,0,0,0,0,0
68489,22.5684,CHEQUE,F,YES,24900,18,0,0,0,0,0,1,0,0,0,1,0
46471,25.4795,CHEQUE,M,YES,17100,23,0,0,0,0,0,0,0,0,0,0,0
88359,23.0214,CARD,F,YES,19100,21,1,1,0,0,0,0,0,0,0,0,1
44294,38.5314,CASH,M,NO,16300,18,0,0,1,1,0,1,1,0,0,0,0
95604,23.5058,CHEQUE,M,NO,11600,44,0,0,0,1,1,1,1,1,0,1,0
103596,27.4252,CARD,F,NO,12300,26,0,0,0,0,1,0,0,0,1,0,0
103473,25.0338,CHEQUE,F,YES,12100,26,0,0,0,0,1,1,0,0,0,0,0
94467,18.9589,CASH,M,YES,16600,49,0,0,0,1,0,1,1,0,1,1,0
38097,37.1385,CASH,M,NO,11700,19,1,0,0,1,1,1,1,1,0,1,0
49632,10.7717,CARD,M,NO,21700,21,0,0,0,1,1,0,0,0,0,1,1
82558,10.1074,CARD,F,YES,27500,22,0,1,0,0,0,0,1,1,1,0,0
50324,20.1004,CASH,M,YES,28900,16,0,1,0,0,0,0,0,0,1,1,0
38468,42.7908,CARD,F,YES,18300,23,0,0,0,0,0,0,0,0,0,0,0
38055,14.4497,CARD,F,YES,22600,25,1,0,0,0,0,0,0,0,0,0,0
74876,18.2937,CASH,M,YES,17100,45,0,0,1,0,0,0,1,0,0,0,1
18079,24.816,CARD,M,YES,19800,32,0,0,1,0,0,0,0,1,0,0,0
16316,39.1701,CHEQUE,M,NO,23300,22,1,0,1,0,0,1,0,0,0,1,0
37166,16.4835,CARD,F,NO,21600,23,1,0,0,0,0,0,1,0,0,1,0
18334,42.4343,CASH,F,NO,25900,43,0,0,0,0,0,1,0,1,0,0,1
102645,13.4218,CARD,F,YES,17200,23,0,0,0,1,1,0,0,0,0,0,0
101100,18.9591,CARD,M,YES,16600,42,0,0,0,1,0,1,1,1,0,0,0
64861,18.7711,CASH,M,YES,27200,49,0,0,1,0,0,1,1,0,0,0,1
19041,14.6823,CARD,F,NO,21100,23,1,1,0,1,0,0,0,0,0,1,0
85771,10.0455,CARD,F,NO,15700,36,0,0,0,0,1,0,0,1,0,0,1
79303,39.6497,CASH,M,NO,17000,19,1,0,1,0,0,0,0,0,0,1,0
92675,44.5153,CHEQUE,F,NO,18100,47,0,1,0,0,0,0,0,0,0,0,0
71690,13.6361,CASH,F,NO,29300,18,1,0,0,0,0,0,1,0,1,1,0
86350,12.184,CARD,F,NO,18200,49,0,0,0,0,0,1,0,0,1,0,0
88260,29.7785,CARD,F,NO,12000,34,0,0,1,1,0,0,0,0,0,0,0
86759,48.4566,CARD,F,NO,14800,34,0,0,0,1,0,0,0,0,0,0,0
49861,38.8491,CASH,M,YES,20300,32,0,0,0,0,0,0,1,0,0,0,0
21543,13.9176,CHEQUE,F,NO,28900,27,0,0,0,1,0,1,0,1,1,0,0
70481,31.7001,CHEQUE,M,YES,29800,30,0,0,0,1,0,0,1,0,1,1,0
29944,42.8985,CASH,M,NO,29800,18,1,0,0,0,0,1,1,0,1,1,0
46054,14.2814,CARD,M,NO,15000,46,0,1,0,1,1,1,1,0,1,0,1
61329,26.9282,CARD,F,YES,17200,49,1,0,0,0,0,0,0,0,0,0,0
24566,39.4489,CARD,F,YES,24300,34,0,0,0,1,1,0,0,1,0,1,1
58768,18.0798,CHEQUE,F,YES,10800,16,0,0,0,0,0,0,0,1,1,0,0
71343,48.2751,CASH,M,YES,13700,38,0,0,0,1,0,1,1,0,0,0,0
55418,20.8812,CARD,F,YES,16800,23,1,0,0,0,0,0,0,0,0,0,0
18228,31.7275,CASH,M,NO,17700,41,0,0,0,1,0,0,0,0,0,0,0
37305,33.9607,CARD,M,NO,18200,49,0,0,0,0,0,0,0,0,0,0,0
30243,30.3916,CASH,M,YES,11500,33,0,1,0,1,1,1,1,1,0,0,1
59599,27.4881,CASH,F,YES,18700,28,0,0,0,0,1,1,1,0,0,0,0
61869,31.8011,CASH,M,NO,12100,46,1,0,0,1,0,1,1,1,0,0,0
10360,27.4012,CHEQUE,M,NO,13400,20,0,0,0,1,0,1,1,0,0,1,0
83338,26.2061,CASH,M,NO,18500,41,0,0,0,0,1,0,0,0,0,0,0
39080,18.3878,CARD,F,YES,21000,36,0,0,0,1,0,0,0,0,0,1,0
84799,31.3192,CARD,M,YES,17600,21,0,1,0,0,1,0,0,0,0,0,0
51979,20.5285,CARD,M,YES,11100,16,0,0,0,1,1,1,1,0,0,0,1
40505,43.0394,CARD,F,NO,25400,50,0,1,1,0,0,0,0,1,0,0,1
37098,26.6378,CARD,F,YES,14100,37,1,1,0,0,0,0,0,0,1,0,0
29524,10.7127,CASH,F,YES,25100,37,0,0,0,1,0,0,0,0,0,0,0
63452,17.8916,CASH,M,NO,12000,48,0,0,0,1,1,1,1,0,0,0,0
20158,23.7441,CHEQUE,M,YES,29000,43,0,0,0,0,1,0,0,0,0,1,0
70182,11.3005,CARD,F,YES,12200,18,0,0,0,1,0,1,0,0,0,0,0
56034,41.2711,CASH,M,NO,14100,16,1,1,0,1,0,1,1,0,0,1,0
44235,27.7268,CASH,F,YES,23200,41,0,0,1,0,0,0,1,1,0,0,1
96881,14.6112,CARD,M,YES,11900,39,0,0,0,1,1,1,1,1,0,0,0
27166,13.4513,CASH,F,YES,25100,44,0,0,0,0,0,0,0,0,0,0,0
39884,31.2737,CASH,M,NO,29700,21,0,0,0,0,0,0,0,1,0,0,0
95141,45.3427,CARD,F,YES,20900,37,1,0,0,0,0,0,0,1,0,0,1
28110,27.6974,CARD,M,YES,12100,21,0,0,0,0,0,1,0,0,0,0,0
85259,40.9303,CARD,F,YES,11000,22,1,0,0,0,0,1,1,0,0,0,0
14996,22.2591,CASH,M,YES,26100,17,0,1,1,1,0,1,0,0,0,1,1
55652,41.7166,CARD,M,NO,14100,20,1,0,0,1,0,1,1,0,0,1,0
43964,29.4585,CASH,F,NO,18500,24,1,0,0,1,0,0,0,1,0,0,0
51183,22.3157,CASH,F,NO,23100,25,0,0,0,0,0,0,0,0,0,0,0
29310,49.8459,CASH,M,YES,28900,22,0,0,0,0,0,0,0,1,1,0,0
21187,20.5744,CHEQUE,F,YES,15400,36,0,1,0,0,0,0,1,0,0,0,0
83536,31.9368,CASH,F,NO,11600,22,0,0,0,0,0,0,1,0,1,1,0
95887,43.1964,CASH,M,NO,12500,27,0,0,0,1,1,1,1,0,1,0,0
88176,34.5366,CARD,F,YES,28300,31,0,0,1,0,0,1,0,1,1,0,1
65418,38.6017,CASH,F,YES,24600,48,0,0,0,0,0,0,0,1,0,0,1
27766,40.0773,CARD,F,NO,18900,34,1,0,0,0,0,0,1,0,0,0,0
66191,37.5233,CASH,F,NO,22600,35,1,0,1,0,0,1,1,0,0,0,0
108764,44.6294,CASH,M,YES,10200,27,0,0,0,1,0,1,1,1,0,1,0
12782,31.3296,CHEQUE,F,NO,20300,31,0,0,0,1,0,0,1,0,0,0,0
75118,31.7774,CHEQUE,F,YES,22200,49,0,0,0,0,1,0,0,0,0,0,0
58188,36.0631,CARD,M,NO,29900,19,1,0,0,0,1,0,0,0,0,1,0
95479,45.7417,CHEQUE,M,NO,22700,32,0,0,0,1,1,0,0,1,0,0,1
59439,20.7784,CASH,M,YES,22000,24,1,0,0,0,0,0,1,0,0,0,0
104903,34.4437,CASH,F,NO,28200,30,1,0,0,0,0,0,0,1,0,0,1
44825,36.9448,CARD,F,NO,12600,50,0,1,0,0,0,0,0,0,0,1,1
71887,30.067,CASH,M,NO,14700,46,0,1,0,1,0,1,1,1,0,1,1
18708,30.7868,CASH,F,YES,25900,35,0,0,0,1,1,1,1,0,0,1,0
74423,22.3177,CASH,F,YES,20000,18,0,0,0,0,0,0,1,0,0,0,0
97967,11.5144,CASH,F,NO,27600,48,0,0,0,0,0,0,0,0,1,1,0
20386,39.8296,CHEQUE,F,YES,15400,32,0,0,1,0,0,0,0,0,0,0,0
77218,38.2717,CARD,M,NO,16500,34,1,0,0,1,0,1,1,1,0,1,0
80137,12.847,CASH,F,NO,22200,33,0,0,0,0,0,0,0,0,0,0,0
84092,34.8497,CARD,F,NO,22000,48,1,0,1,0,0,1,0,1,1,1,1
58914,28.9163,CARD,F,YES,25500,50,0,0,0,0,0,1,0,0,0,0,0
16287,42.5534,CASH,F,NO,25800,16,1,0,0,0,0,0,0,1,1,0,1
86044,30.5434,CARD,M,NO,13900,30,0,0,0,1,0,1,1,1,1,0,0
36927,20.1812,CHEQUE,M,NO,11100,35,0,0,0,1,0,1,1,0,0,0,1
93304,42.4567,CARD,M,NO,28200,34,0,0,0,0,0,1,0,0,0,0,1
66988,17.9591,CARD,M,YES,12300,43,0,0,0,1,0,1,1,0,0,1,0
55091,40.2274,CASH,M,NO,24400,19,0,0,0,0,1,0,1,0,0,0,0
64215,17.0993,CASH,M,NO,15300,42,1,0,0,1,1,1,1,0,0,0,0
28629,44.8107,CASH,M,NO,26200,31,0,0,0,0,0,0,1,0,0,0,1
98383,33.8642,CASH,M,NO,24500,32,0,0,0,1,1,1,0,0,0,0,1
107505,21.3633,CASH,F,YES,25000,32,0,0,0,0,0,0,0,0,0,0,1
99578,15.7681,CARD,M,NO,24300,27,0,0,0,0,1,0,0,0,1,0,1
28979,35.8494,CHEQUE,F,YES,20100,21,0,0,0,1,0,0,0,1,0,0,1
102733,28.5154,CASH,F,NO,17200,24,1,0,0,0,0,0,0,0,0,1,1
81690,37.3617,CARD,F,NO,23900,36,0,0,0,0,0,0,0,1,0,0,1
25405,36.4166,CARD,M,NO,27600,36,0,0,0,0,1,0,0,0,0,1,0
85348,40.2677,CHEQUE,F,YES,12400,24,0,0,0,0,1,0,0,0,0,0,0
19915,40.0868,CASH,F,NO,15700,21,1,0,0,0,1,0,0,0,0,1,0
99387,10.6184,CASH,F,NO,16500,49,0,1,0,0,1,0,0,0,0,0,1
32380,11.1224,CARD,F,YES,18900,20,1,0,0,1,0,0,0,1,0,0,0
39914,36.7285,CARD,F,YES,13700,26,1,0,1,0,0,0,0,0,0,0,0
57952,35.1487,CHEQUE,F,NO,26900,48,0,0,0,1,0,0,0,1,0,0,1
64239,27.5083,CARD,M,YES,15800,22,0,0,0,1,0,1,1,1,1,0,0
38014,23.331,CHEQUE,F,NO,16000,42,0,1,0,1,1,1,0,0,1,0,0
21875,10.7267,CASH,F,NO,25000,17,1,0,0,0,0,0,0,1,0,1,0
37939,49.7316,CARD,M,YES,28300,18,1,1,0,0,1,0,0,0,1,0,0
109061,37.3485,CASH,F,NO,27800,50,0,1,0,0,0,0,0,1,0,0,1
100754,11.3294,CHEQUE,F,NO,17100,16,1,0,0,1,0,1,0,0,0,1,0
28313,34.8889,CASH,F,NO,27700,48,1,0,0,0,0,0,0,1,0,0,1
82753,37.5762,CHEQUE,F,YES,23200,42,1,1,1,0,0,0,0,1,0,0,1
105412,18.3099,CASH,M,NO,18500,29,0,0,0,0,0,0,1,0,0,0,0
42583,35.6757,CASH,F,YES,13300,24,0,0,0,0,0,0,0,0,0,0,0
89233,37.6838,CARD,F,YES,28400,17,0,1,0,0,0,0,0,0,0,0,0
76777,43.748,CARD,F,NO,26900,28,0,0,0,0,0,0,0,1,0,0,1
16220,34.7872,CHEQUE,M,NO,15300,33,0,0,0,1,0,1,1,0,1,0,1
17864,35.6562,CHEQUE,F,NO,28900,18,1,0,1,0,0,0,0,1,0,1,1
87270,31.4868,CHEQUE,M,NO,21300,29,0,0,1,1,1,0,0,1,0,0,0
34593,35.8231,CARD,M,YES,26800,50,0,0,1,0,1,1,0,1,0,0,0
67697,12.9477,CARD,M,NO,18200,44,0,0,1,0,0,1,0,0,0,0,0
32302,33.8303,CARD,F,YES,12500,37,0,0,0,0,0,0,0,0,0,0,0
15663,45.1901,CARD,F,YES,19700,45,0,0,0,0,0,0,1,0,0,0,0
108601,14.1216,CASH,M,NO,17100,49,0,0,0,0,0,0,0,1,0,1,0
55951,15.6793,CARD,M,NO,23600,39,0,0,0,0,0,0,0,1,0,0,1
39817,13.2005,CASH,F,YES,17500,49,0,0,0,0,0,0,1,0,0,0,0
19613,46.1507,CARD,F,YES,11000,45,0,0,0,0,1,0,0,0,0,0,0
71600,47.3234,CHEQUE,M,NO,12400,33,1,0,0,1,1,1,1,1,0,1,0
96561,30.3759,CARD,M,NO,17000,29,0,0,0,0,0,0,0,0,0,0,0
90861,38.2559,CASH,F,YES,18600,29,1,1,0,0,0,0,0,0,0,0,1
68501,15.3726,CHEQUE,F,NO,24000,31,1,1,0,0,0,0,0,0,1,1,0
30132,23.9357,CASH,M,NO,15700,23,1,0,1,1,0,1,1,0,0,1,0
78639,32.0691,CASH,M,NO,27900,48,0,0,0,0,0,0,0,0,0,1,0
46419,45.3239,CARD,F,NO,20000,27,0,0,0,0,0,0,0,0,0,0,1
50633,23.0638,CHEQUE,M,YES,19200,46,0,0,0,0,0,0,0,0,0,0,1
11553,15.1133,CASH,M,NO,28300,27,0,0,0,0,0,0,0,0,0,0,1
65853,20.6815,CASH,M,YES,17500,33,1,0,1,0,0,0,0,0,0,0,0
47547,42.8159,CASH,F,YES,16900,46,0,0,0,0,0,0,0,0,1,0,0
38360,35.0157,CASH,F,YES,14700,27,0,0,0,1,0,0,0,0,0,0,0
107728,16.9603,CHEQUE,F,NO,26800,49,0,1,0,0,0,1,1,1,0,0,0
30390,26.6278,CASH,M,YES,21400,25,0,0,0,0,0,0,0,0,1,0,0
75815,19.1927,CARD,F,YES,19200,40,0,0,0,0,0,1,0,1,0,0,1
106288,10.0926,CHEQUE,F,YES,12300,23,0,0,0,1,0,0,0,0,0,0,1
88596,34.1082,CASH,F,NO,28400,38,0,0,1,0,0,0,0,1,1,0,1
93469,32.7656,CHEQUE,M,NO,24800,16,1,0,1,1,1,1,0,0,1,1,0
34756,15.2704,CARD,F,YES,15900,18,0,0,0,0,0,0,0,0,0,0,0
12584,46.6323,CARD,F,YES,17400,29,1,0,0,0,0,0,1,1,0,0,1
107080,29.4064,CARD,F,NO,25100,43,0,0,0,1,0,0,0,0,0,0,0
73651,14.1309,CASH,M,YES,11700,22,1,1,0,0,0,0,0,0,0,0,0
54180,43.0372,CASH,M,NO,13500,32,0,1,0,1,0,1,1,0,0,0,0
45102,32.5518,CASH,M,NO,28800,16,1,0,0,0,0,1,0,0,0,1,0
85475,37.0037,CARD,M,YES,24500,47,1,0,0,0,0,0,0,1,0,0,0
78363,49.4132,CARD,M,YES,10600,18,1,0,0,1,0,1,1,1,0,0,0
23718,37.8611,CHEQUE,M,YES,29700,37,0,0,0,1,0,1,0,1,0,1,0
54152,20.595,CARD,M,YES,24400,38,0,0,0,0,0,1,1,1,0,0,0
93963,49.1922,CARD,M,YES,25100,21,0,1,0,0,0,0,0,0,0,0,0
35561,34.4236,CASH,M,YES,13300,24,0,0,0,0,0,1,0,0,0,0,1
30371,30.8872,CARD,F,YES,23100,24,1,0,0,0,0,0,0,0,0,0,0
93669,27.7032,CHEQUE,F,NO,21600,37,0,0,0,1,0,0,0,1,0,0,1
70858,20.9462,CASH,M,YES,17600,46,1,1,0,1,0,0,0,0,0,1,1
103147,43.8622,CARD,M,YES,18100,28,0,0,0,1,0,0,0,0,0,0,0
80198,34.267,CARD,F,NO,28300,47,0,0,0,0,0,0,1,1,0,0,1
42459,32.6446,CARD,F,YES,23800,47,0,0,0,0,1,1,0,1,1,0,1
36631,27.0515,CASH,M,YES,22100,16,0,0,0,0,0,0,0,0,0,0,0
43800,44.2831,CARD,F,YES,27900,36,0,0,0,1,0,0,1,1,0,0,1
60240,21.9871,CASH,M,YES,23800,45,0,0,0,0,0,0,0,0,0,0,0
29640,28.5955,CASH,F,NO,17800,27,0,0,0,1,1,1,0,1,0,0,0
109000,14.9647,CASH,F,YES,17800,22,0,0,0,1,1,0,0,1,1,0,0
108739,10.9737,CASH,M,NO,20800,29,1,0,0,0,0,0,0,1,1,0,1
104165,32.2963,CARD,M,NO,25400,43,0,0,0,0,0,0,0,1,0,0,0
73630,10.4506,CARD,F,NO,19800,25,0,0,0,1,1,0,0,1,0,0,0
25765,35.6814,CHEQUE,F,YES,30000,25,0,0,0,0,0,0,0,1,0,0,1
84903,32.8053,CARD,F,NO,29600,17,1,0,0,0,0,1,0,0,1,1,0
99347,34.6651,CARD,F,YES,23100,44,0,1,1,1,0,0,0,1,0,0,1
41157,20.2332,CASH,F,NO,15200,40,1,0,1,0,1,1,0,0,1,0,0
20325,15.356,CARD,M,YES,26600,24,0,1,1,0,0,1,0,1,0,0,0
71462,40.9979,CARD,F,YES,26300,42,0,1,0,0,0,0,0,1,0,0,1
91928,12.3639,CARD,F,NO,14300,19,1,0,0,0,1,0,0,1,1,1,1
80306,31.9965,CASH,F,NO,15200,27,0,0,1,0,1,1,1,1,0,0,0
78113,14.3918,CASH,F,YES,23800,22,1,0,0,1,0,0,0,1,0,0,0
95488,11.9753,CARD,F,NO,18100,26,1,0,1,0,0,0,0,0,0,0,0
27720,37.4582,CARD,F,NO,13400,16,0,0,0,0,0,1,0,0,0,1,0
76264,15.99,CHEQUE,M,NO,29700,16,1,1,0,0,0,0,0,0,0,1,0
38477,13.8168,CASH,M,YES,16500,38,0,1,0,0,0,0,0,0,0,0,1
43557,24.5056,CASH,F,YES,10800,25,1,0,0,0,0,0,0,0,0,0,0
10609,14.2389,CHEQUE,F,NO,16700,41,1,0,0,0,0,0,0,0,0,1,0
73259,16.8793,CARD,F,NO,24700,42,1,0,0,0,1,0,0,0,0,0,0
18920,45.3683,CASH,M,NO,15800,49,0,0,0,1,0,0,0,1,1,0,0
39581,29.2526,CASH,F,YES,27900,49,0,0,0,0,0,0,0,0,0,0,0
14912,39.1559,CHEQUE,M,YES,28100,28,0,0,0,1,0,1,1,1,0,0,0
80438,15.8347,CARD,M,NO,19600,38,0,0,0,0,0,0,0,1,0,0,1
81034,20.9511,CHEQUE,M,YES,12800,28,0,1,0,1,1,1,1,0,0,0,0
89250,43.6042,CASH,F,NO,27900,29,0,1,0,0,1,0,0,1,0,0,1
96982,15.4964,CARD,M,YES,15300,49,1,0,0,1,0,1,1,0,0,0,0
89872,15.6822,CARD,F,YES,19100,40,0,0,0,0,0,0,1,0,0,0,0
71140,22.0941,CARD,M,YES,25800,42,0,0,0,0,0,0,1,0,0,0,0
