Purchase	Age	Gender	Income
0.0	33.0	2.0	2.0
1.0	34.0	2.0	2.0
1.0	43.0	2.0	2.0
0.0	35.0	2.0	2.0
1.0	31.0	2.0	2.0
0.0	48.0	2.0	2.0
1.0	36.0	2.0	2.0
0.0	39.0	2.0	2.0
0.0	37.0	2.0	2.0
0.0	40.0	2.0	2.0
0.0	39.0	2.0	2.0
1.0	44.0	2.0	2.0
0.0	35.0	2.0	2.0
0.0	33.0	2.0	2.0
1.0	34.0	2.0	2.0
0.0	50.0	2.0	2.0
1.0	44.0	2.0	2.0
0.0	40.0	2.0	2.0
0.0	36.0	2.0	2.0
1.0	41.0	2.0	2.0
1.0	37.0	2.0	2.0
1.0	38.0	2.0	2.0
0.0	38.0	2.0	2.0
1.0	41.0	2.0	2.0
0.0	36.0	2.0	2.0
0.0	42.0	2.0	2.0
1.0	43.0	2.0	2.0
0.0	43.0	2.0	2.0
0.0	50.0	2.0	2.0
0.0	42.0	2.0	2.0
0.0	42.0	2.0	2.0
0.0	38.0	2.0	2.0
0.0	33.0	2.0	2.0
0.0	39.0	2.0	2.0
1.0	41.0	2.0	2.0
1.0	44.0	2.0	2.0
0.0	42.0	2.0	2.0
1.0	33.0	2.0	2.0
1.0	49.0	2.0	2.0
0.0	40.0	2.0	2.0
1.0	37.0	2.0	2.0
0.0	38.0	2.0	2.0
0.0	36.0	2.0	2.0
0.0	39.0	2.0	2.0
1.0	34.0	2.0	2.0
0.0	44.0	2.0	2.0
1.0	34.0	2.0	2.0
0.0	39.0	2.0	2.0
1.0	38.0	2.0	2.0
1.0	34.0	2.0	2.0
1.0	52.0	2.0	2.0
1.0	41.0	2.0	3.0
0.0	41.0	2.0	3.0
0.0	37.0	2.0	3.0
0.0	45.0	2.0	3.0
0.0	44.0	2.0	3.0
1.0	35.0	2.0	3.0
0.0	30.0	2.0	3.0
0.0	28.0	2.0	3.0
1.0	40.0	2.0	3.0
0.0	33.0	2.0	3.0
1.0	44.0	2.0	3.0
0.0	39.0	2.0	3.0
0.0	42.0	2.0	3.0
0.0	31.0	2.0	3.0
0.0	29.0	2.0	3.0
0.0	49.0	2.0	3.0
1.0	33.0	2.0	3.0
1.0	35.0	2.0	3.0
0.0	34.0	2.0	3.0
1.0	40.0	2.0	3.0
1.0	40.0	2.0	3.0
0.0	32.0	2.0	3.0
1.0	38.0	2.0	3.0
1.0	23.0	2.0	3.0
1.0	49.0	2.0	3.0
1.0	39.0	2.0	3.0
0.0	32.0	2.0	3.0
0.0	43.0	2.0	3.0
1.0	38.0	2.0	3.0
0.0	34.0	2.0	3.0
0.0	38.0	2.0	3.0
0.0	35.0	2.0	3.0
0.0	45.0	2.0	3.0
1.0	28.0	2.0	3.0
1.0	35.0	2.0	3.0
0.0	26.0	2.0	3.0
1.0	38.0	2.0	3.0
1.0	34.0	2.0	3.0
1.0	46.0	2.0	3.0
0.0	35.0	2.0	3.0
0.0	36.0	2.0	3.0
0.0	37.0	2.0	3.0
0.0	48.0	2.0	3.0
0.0	41.0	2.0	3.0
0.0	40.0	2.0	3.0
1.0	51.0	2.0	3.0
1.0	45.0	2.0	3.0
0.0	33.0	2.0	3.0
1.0	37.0	2.0	3.0
1.0	36.0	2.0	3.0
0.0	42.0	2.0	3.0
1.0	51.0	2.0	3.0
1.0	51.0	2.0	3.0
1.0	41.0	2.0	3.0
1.0	26.0	2.0	3.0
1.0	49.0	2.0	3.0
0.0	46.0	2.0	3.0
0.0	41.0	2.0	3.0
0.0	40.0	2.0	3.0
1.0	44.0	2.0	3.0
0.0	35.0	2.0	3.0
0.0	40.0	2.0	3.0
0.0	37.0	2.0	3.0
1.0	32.0	2.0	3.0
1.0	45.0	2.0	3.0
1.0	29.0	2.0	3.0
1.0	41.0	2.0	3.0
1.0	39.0	2.0	3.0
0.0	26.0	2.0	3.0
0.0	30.0	2.0	3.0
1.0	38.0	2.0	3.0
0.0	35.0	2.0	3.0
0.0	39.0	2.0	3.0
0.0	24.0	2.0	3.0
0.0	32.0	2.0	3.0
0.0	46.0	2.0	3.0
1.0	40.0	2.0	3.0
0.0	38.0	2.0	3.0
1.0	42.0	2.0	3.0
0.0	43.0	2.0	3.0
0.0	29.0	1.0	1.0
0.0	58.0	1.0	1.0
0.0	40.0	1.0	1.0
0.0	35.0	1.0	1.0
0.0	47.0	1.0	1.0
0.0	33.0	1.0	1.0
0.0	40.0	1.0	1.0
0.0	37.0	1.0	1.0
0.0	37.0	1.0	1.0
0.0	40.0	1.0	1.0
0.0	36.0	1.0	1.0
0.0	32.0	1.0	1.0
0.0	37.0	1.0	1.0
1.0	49.0	1.0	1.0
0.0	38.0	1.0	1.0
1.0	36.0	1.0	1.0
0.0	42.0	1.0	1.0
0.0	44.0	1.0	1.0
0.0	38.0	1.0	1.0
0.0	40.0	1.0	1.0
0.0	41.0	1.0	1.0
0.0	40.0	1.0	1.0
0.0	47.0	1.0	1.0
1.0	39.0	1.0	1.0
0.0	38.0	1.0	1.0
0.0	43.0	1.0	1.0
0.0	46.0	1.0	1.0
1.0	48.0	1.0	1.0
1.0	38.0	1.0	1.0
0.0	35.0	1.0	1.0
0.0	38.0	1.0	1.0
0.0	37.0	1.0	1.0
0.0	32.0	1.0	1.0
0.0	29.0	1.0	1.0
1.0	41.0	1.0	1.0
1.0	39.0	1.0	1.0
0.0	40.0	1.0	1.0
1.0	48.0	1.0	1.0
0.0	37.0	1.0	1.0
0.0	40.0	1.0	1.0
0.0	42.0	1.0	1.0
0.0	42.0	1.0	1.0
0.0	38.0	1.0	1.0
0.0	46.0	1.0	2.0
0.0	45.0	1.0	2.0
0.0	33.0	1.0	2.0
0.0	34.0	1.0	2.0
1.0	33.0	1.0	2.0
0.0	42.0	1.0	2.0
1.0	47.0	1.0	2.0
0.0	43.0	1.0	2.0
0.0	35.0	1.0	2.0
0.0	43.0	1.0	2.0
1.0	33.0	1.0	2.0
0.0	26.0	1.0	2.0
0.0	34.0	1.0	2.0
0.0	43.0	1.0	2.0
0.0	41.0	1.0	2.0
0.0	38.0	1.0	2.0
0.0	25.0	1.0	2.0
1.0	45.0	1.0	2.0
0.0	37.0	1.0	2.0
0.0	34.0	1.0	2.0
0.0	39.0	1.0	2.0
0.0	32.0	1.0	2.0
0.0	44.0	1.0	2.0
0.0	39.0	1.0	2.0
0.0	30.0	1.0	2.0
0.0	36.0	1.0	2.0
0.0	45.0	1.0	2.0
0.0	39.0	1.0	2.0
0.0	44.0	1.0	2.0
0.0	47.0	1.0	2.0
0.0	46.0	1.0	2.0
1.0	34.0	1.0	2.0
1.0	38.0	1.0	2.0
0.0	31.0	1.0	2.0
0.0	34.0	1.0	2.0
1.0	33.0	1.0	2.0
0.0	38.0	1.0	2.0
1.0	43.0	1.0	2.0
0.0	43.0	1.0	2.0
1.0	47.0	1.0	2.0
0.0	41.0	1.0	2.0
1.0	37.0	1.0	2.0
1.0	38.0	1.0	2.0
0.0	38.0	1.0	2.0
1.0	35.0	1.0	2.0
0.0	34.0	1.0	2.0
0.0	33.0	1.0	2.0
0.0	40.0	1.0	2.0
0.0	39.0	1.0	2.0
0.0	41.0	1.0	2.0
1.0	44.0	1.0	2.0
0.0	37.0	1.0	2.0
0.0	41.0	1.0	2.0
0.0	45.0	1.0	2.0
0.0	29.0	1.0	2.0
0.0	40.0	1.0	2.0
0.0	40.0	1.0	2.0
0.0	35.0	1.0	2.0
0.0	49.0	1.0	2.0
0.0	40.0	1.0	2.0
0.0	38.0	1.0	2.0
0.0	41.0	1.0	2.0
0.0	35.0	1.0	2.0
0.0	33.0	1.0	2.0
0.0	47.0	1.0	2.0
0.0	36.0	1.0	2.0
0.0	37.0	1.0	2.0
0.0	40.0	1.0	2.0
1.0	44.0	1.0	2.0
0.0	48.0	1.0	2.0
1.0	43.0	1.0	2.0
0.0	41.0	1.0	2.0
0.0	30.0	1.0	2.0
0.0	42.0	1.0	3.0
0.0	33.0	1.0	3.0
1.0	41.0	1.0	3.0
0.0	33.0	1.0	3.0
0.0	37.0	1.0	3.0
1.0	42.0	1.0	3.0
0.0	25.0	1.0	3.0
1.0	39.0	1.0	3.0
0.0	39.0	1.0	3.0
0.0	36.0	1.0	3.0
0.0	43.0	1.0	3.0
0.0	41.0	1.0	3.0
0.0	34.0	1.0	3.0
0.0	37.0	1.0	3.0
1.0	46.0	1.0	3.0
1.0	42.0	1.0	3.0
0.0	40.0	1.0	3.0
0.0	41.0	1.0	3.0
1.0	39.0	1.0	3.0
1.0	34.0	1.0	3.0
1.0	35.0	1.0	3.0
1.0	35.0	1.0	3.0
0.0	44.0	1.0	3.0
1.0	45.0	1.0	3.0
1.0	38.0	1.0	3.0
0.0	39.0	1.0	3.0
0.0	38.0	1.0	3.0
0.0	43.0	1.0	3.0
0.0	31.0	1.0	3.0
1.0	45.0	1.0	3.0
1.0	36.0	1.0	3.0
1.0	33.0	1.0	3.0
1.0	49.0	1.0	3.0
1.0	41.0	1.0	3.0
1.0	41.0	1.0	3.0
1.0	31.0	1.0	3.0
0.0	34.0	1.0	3.0
1.0	39.0	1.0	3.0
0.0	44.0	1.0	3.0
1.0	46.0	1.0	3.0
0.0	32.0	1.0	3.0
1.0	52.0	1.0	3.0
0.0	41.0	1.0	3.0
1.0	48.0	1.0	3.0
0.0	50.0	1.0	3.0
1.0	38.0	1.0	3.0
0.0	36.0	1.0	3.0
1.0	34.0	1.0	3.0
1.0	37.0	1.0	3.0
0.0	38.0	1.0	3.0
0.0	42.0	1.0	3.0
1.0	33.0	1.0	3.0
1.0	35.0	1.0	3.0
0.0	30.0	1.0	3.0
0.0	48.0	1.0	3.0
1.0	35.0	1.0	3.0
0.0	44.0	1.0	3.0
0.0	41.0	1.0	3.0
0.0	37.0	1.0	3.0
1.0	35.0	1.0	3.0
0.0	46.0	1.0	3.0
0.0	37.0	1.0	3.0
1.0	47.0	1.0	3.0
1.0	39.0	1.0	3.0
1.0	47.0	1.0	3.0
1.0	45.0	1.0	3.0
1.0	37.0	1.0	3.0
1.0	37.0	1.0	3.0
1.0	33.0	1.0	3.0
0.0	40.0	1.0	3.0
1.0	43.0	1.0	3.0
0.0	31.0	1.0	3.0
1.0	32.0	1.0	3.0
0.0	34.0	1.0	3.0
0.0	34.0	1.0	3.0
