id	region	AvAmount	Months	StoreType	Income	CardType	Amount	Fraud
id263	midlands	1620	50	5	514487	B	166055	0
id008	southeast	1640	108	5	1167040	A	485011	0
id016	midlands	1660	36	7	490617	C	129724	0
id205	midlands	1660	27	5	283730	A	81696.6	0
id179	north	1700	68	1	337891	C	89398.2	1
id260	southeast	1700	39	7	558644	D	165308	0
id212	southwest	1720	79	5	869656	B	258536	0
id196	southeast	1740	54	4	539166	A	181685	0
id240	north	1740	92	7	1317890	A	345394	0
id002	north	1780	42	7	734118	A	245354	1
id105	midlands	1800	38	5	472370	D	157807	0
id163	midlands	1800	30	5	364073	C	117577	0
id213	southwest	1800	35	7	577327	C	175586	0
id007	southeast	1820	29	4	211605	A	68969.2	0
id254	southeast	1820	107	2	830217	A	226862	0
id283	north	1820	102	7	1296760	B	437473	1
id069	southwest	1840	80	5	1072440	D	352987	0
id104	southeast	1840	103	6	1588890	C	442416	0
id220	north	1860	49	1	166092	D	54218.8	0
id175	midlands	1900	60	7	1104450	A	308812	0
id273	midlands	1900	75	4	845801	C	234358	0
id047	southeast	1920	87	7	1649820	D	438677	0
id209	southeast	1940	89	5	1127690	C	318249	0
id210	southeast	1940	69	1	405535	D	120866	0
id061	midlands	1960	40	2	323203	A	87146.3	0
id117	southwest	1960	86	3	786081	C	254286	1
id125	midlands	1980	26	6	410448	A	122939	0
id103	southwest	400	109	7	363238	D	64827.2	2
id045	midlands	420	93	6	283934	D	58128.8	2
id144	midlands	420	95	7	345469	D	73682.3	2
id172	midlands	440	52	4	150032	A	56697.2	2
id191	midlands	440	15	6	53345.9	B	21231.5	2
id190	midlands	460	20	3	47898.5	D	10402.3	2
id268	north	460	59	2	98131.2	A	42079.5	2
id003	midlands	500	69	5	231965	C	84213	2
id114	southeast	500	91	5	296975	A	123033	2
id185	midlands	500	48	5	184773	C	79746.6	2
id231	southeast	520	108	6	430870	D	93415.4	2
id279	north	520	99	4	300160	B	127088	2
id204	southeast	560	108	1	168087	A	64617.5	2
id070	midlands	580	41	1	71469.9	C	25581	2
id162	southeast	580	17	5	75088.2	A	29811.1	2
id101	north	600	95	3	297444	A	116691	2
id138	southeast	600	97	3	277625	B	110754	2
id221	southeast	600	59	1	116538	B	45322.1	2
id074	midlands	620	18	4	67088	B	25845	2
id092	southeast	620	66	6	339270	D	74412	2
id167	southeast	620	108	4	409967	A	144428	2
id192	southeast	620	17	4	59862.8	D	10646.6	2
id242	midlands	620	57	7	311389	D	66630.5	2
id017	southwest	640	79	3	232857	C	89148.9	2
id285	southeast	640	99	5	410711	D	93228.9	2
id287	midlands	640	28	2	73600	A	31076.8	2
id100	midlands	660	46	2	129273	C	50329.5	2
id042	southeast	680	56	1	122554	D	22176.9	2
id288	southwest	680	105	4	468922	D	101902	2
id157	north	700	43	5	199898	C	89316.3	2
id161	north	700	28	4	127956	C	47786	2
id202	midlands	700	31	2	86402.4	D	15833.8	2
id232	north	700	30	3	104827	B	46800.2	2
id245	southwest	700	86	4	371193	D	81138.5	2
id112	southwest	720	32	2	84667	D	17933.7	2
id182	midlands	720	107	7	725939	A	290838	2
id198	southeast	720	104	7	620073	C	228329	2
id199	southwest	720	42	6	259978	C	107169	2
id300	southwest	720	78	3	280864	D	49476.5	2
id090	southeast	740	72	7	505950	D	112959	2
id243	southeast	760	99	5	545546	D	99655.4	2
id200	midlands	780	91	1	217635	D	43168.4	2
id255	southeast	780	73	3	311751	D	62663	2
id262	north	780	36	6	210159	D	43683.3	2
id062	southeast	800	91	5	498751	A	177709	2
id086	midlands	800	15	2	52010.4	D	9371.14	2
id034	north	820	101	4	516064	C	187782	2
id126	southeast	820	92	5	576626	A	220470	2
id158	southeast	820	46	5	238887	B	84049	2
id019	north	840	64	6	457552	B	201904	2
id087	southeast	840	105	4	533329	C	230706	2
id107	midlands	840	38	2	123564	D	23662.6	2
id111	north	840	40	5	223798	A	99579.4	2
id128	southwest	840	56	6	359119	A	155293	2
id258	southwest	840	106	1	251533	A	91061.5	2
id081	southwest	860	83	5	528864	C	231731	2
id102	midlands	860	17	7	141792	A	57782.4	2
id154	southwest	860	100	7	713369	B	301439	2
id084	southwest	880	27	2	95217.4	D	20953	2
id207	midlands	880	51	4	280415	A	104823	2
id280	midlands	880	55	7	401874	D	79140.7	2
id083	midlands	900	34	4	198681	A	73242.1	2
id015	midlands	920	86	4	442554	B	154952	2
id041	midlands	940	94	2	386956	B	165190	2
id094	southeast	940	80	4	486656	A	205456	2
id031	midlands	960	52	7	408440	A	176464	2
id164	midlands	980	81	5	516953	A	207882	2
id217	southwest	980	22	4	118123	D	25436.6	2
id257	southeast	980	19	4	104032	B	40831.6	2
id275	southeast	1000	63	2	262461	A	116047	2
id137	southwest	1020	72	3	387619	B	173234	2
id234	southwest	1020	34	5	237361	A	89040.8	2
id123	midlands	1040	76	4	504775	A	186192	2
id206	southwest	1040	83	7	740225	B	274706	2
id267	southeast	1040	58	6	461687	C	184172	2
id233	southeast	1060	95	4	596776	D	131728	2
id265	southeast	1060	36	7	364028	D	62503.3	2
id168	north	1080	91	7	883991	A	321873	2
id239	north	1080	107	1	374214	D	67547.3	2
id058	midlands	1100	75	3	392063	C	139391	2
id118	midlands	1120	26	7	284082	C	114740	2
id169	midlands	1120	84	4	571598	B	239596	2
id223	southeast	1120	93	5	698836	B	305784	2
id274	southeast	1120	107	3	648786	D	143757	2
id029	southeast	1160	90	7	849323	D	184049	2
id145	southeast	1160	57	7	616104	A	226335	2
id229	southeast	1160	46	3	272566	D	54254.4	2
id176	southeast	1180	83	6	727423	D	143191	2
id024	southeast	1200	35	1	122088	A	44986.2	2
id119	north	1200	102	2	502987	D	94857.9	2
id224	north	1200	20	4	135593	A	54184.8	2
id052	midlands	1220	49	5	451711	D	86835.8	2
id039	southwest	1240	44	5	346747	C	134176	2
id276	north	1240	101	7	1088060	D	195611	2
id032	midlands	1260	82	1	319386	D	63715.6	2
id122	southwest	1260	44	2	218522	C	77095.4	2
id227	southeast	1280	77	2	416639	D	78431.4	2
id281	southeast	1280	101	6	1015660	B	454378	2
id216	southwest	1300	59	2	283703	C	114377	2
id055	southeast	1320	79	3	481653	D	95050	2
id180	southwest	1320	85	3	516077	C	228995	2
id046	midlands	1340	48	6	545303	D	106622	2
id183	southeast	1340	107	3	755868	A	280880	2
id025	north	1360	29	6	295710	D	63151	2
id143	southeast	1360	102	1	397689	D	83491.8	2
id124	midlands	1380	72	3	477874	C	173213	2
id051	southwest	1400	77	4	684259	D	147326	2
id109	southeast	1400	39	2	218130	A	87192.1	2
id149	north	1400	93	6	1042300	D	203307	2
id116	southeast	1420	47	3	335470	C	131953	2
id291	southwest	1420	22	7	280288	B	114051	2
id043	southeast	1440	90	1	405898	A	149843	2
id065	southwest	1440	17	5	163146	B	70411.3	2
id120	midlands	1440	67	5	626209	D	116199	2
id174	southeast	1440	59	7	820436	D	153275	2
id292	midlands	1440	23	2	144137	C	54030.1	2
id235	southeast	1460	46	3	329023	A	135493	2
id290	midlands	1460	98	7	1363770	A	492180	2
id001	midlands	1480	30	6	330729	D	74703.1	2
id155	southeast	1480	59	5	554413	A	229661	2
id248	midlands	1500	74	1	346870	D	66246.8	2
id053	southeast	1520	25	7	356098	D	76380.2	2
id130	southeast	1520	74	7	1016440	B	428891	2
id068	midlands	1540	23	4	198114	D	44298.2	2
id247	midlands	1540	44	3	324293	D	74504	2
id127	midlands	1560	99	4	935463	B	372508	2
id197	southeast	1560	24	1	118426	D	24236.9	2
id222	north	1560	66	6	822536	D	174783	2
id064	midlands	1580	93	4	920862	B	390735	2
id278	southwest	1580	19	7	290000	A	106027	2
id009	southwest	1600	101	3	756755	D	160904	2
id208	southeast	1600	80	1	420054	B	187785	2
id261	midlands	1620	49	5	603770	D	133703	2
id284	southeast	1620	70	2	466665	C	169854	2
id095	southeast	1660	89	7	1267640	D	232075	2
id186	north	1660	32	4	313808	C	120963	2
id238	southwest	1660	96	7	1510620	D	277397	2
id057	midlands	1680	53	5	616527	D	138949	2
id177	midlands	1680	17	1	87896.5	A	34151.9	2
id218	southeast	1680	76	4	776558	D	164481	2
id005	north	1700	46	6	621148	D	122006	2
id054	southwest	1700	35	7	566907	C	204204	2
id201	southeast	1700	29	1	133658	D	25325.6	2
id225	southeast	1700	85	2	572940	A	238997	2
id226	southeast	1700	55	6	738160	C	282876	2
id133	southeast	1720	37	6	467803	D	87242	2
id098	southeast	1740	68	6	1011040	A	359927	2
id115	southeast	1740	93	2	688481	D	146245	2
id171	midlands	1740	83	1	394465	D	74191.4	2
id012	midlands	1760	83	5	1057380	B	389421	2
id044	midlands	1760	99	2	682654	A	302503	2
id049	southeast	1760	23	5	274081	A	98093.9	2
id060	southeast	1760	85	1	482575	D	103791	2
id151	southwest	1760	72	3	636718	D	132812	2
id214	southeast	1760	83	7	1216940	D	265138	2
id048	midlands	1780	90	5	1229080	D	248900	2
id097	southeast	1780	82	5	923797	D	172324	2
id152	midlands	1780	106	6	1427810	B	609803	2
id134	southeast	1800	99	5	1251990	A	448683	2
id178	southeast	1800	101	3	935106	D	191132	2
id033	southeast	1820	90	7	1621150	A	574478	2
id121	southeast	1820	48	6	713117	C	282543	2
id140	north	1820	79	3	770788	C	298238	2
id236	midlands	1820	46	3	436340	D	88906.8	2
id080	southeast	1840	109	1	566353	D	99069.6	2
id004	southwest	1860	103	1	625251	B	281082	2
id078	north	1860	94	2	718334	B	310364	2
id108	southeast	1860	29	5	397267	A	177818	2
id159	midlands	1860	45	1	228710	A	85431	2
id139	southeast	1880	105	6	1569890	A	606381	2
id170	midlands	1880	48	1	287386	A	112089	2
id228	southeast	1880	63	6	925300	A	331578	2
id244	midlands	1880	73	1	428555	A	168201	2
id295	southeast	1880	80	6	1147240	D	225124	2
id136	north	1900	75	3	765273	B	304988	2
id165	midlands	1940	24	2	171635	C	75697.1	2
id056	southeast	1960	76	6	1213420	D	246377	2
